gold_5,78800,299000
gold_4,39800,149000
gold_3,15800,59000
gold_2,7800,30000
gold_7,3800,15000
gold_8,800,3000
gold_10,15800,59000
gold_9,3800,15000
gold_11,800,3000
gold_12,3800,15000
gold_13,7800,30000
gold_14,3800,15000
gold_15,15800,59000
gold_16,800,3000
gold_17,3800,15000
gold_18,3800,15000
gold_19,7800,30000
gold_20,15800,59000
gold_21,39800,149000
gold_22,800,3000
gold_23,800,3000
gold_24,800,3000
gold_25,800,3000
gold_26,3800,15000
gold_27,3800,15000
gold_28,3800,15000
gold_29,39800,149000
gold_30,3800,15000
gold_31,15800,59000
gold_32,800,3000
gold_33,3800,15000
gold_34,7800,30000
gold_35,15800,59000
gold_36,15800,59000
gold_37,39800,149000
gold_38,39800,149000
gold_39,78800,299000
gold_40,800,3000
gold_41,3800,15000
gold_42,3800,15000
gold_43,7800,30000
gold_44,15800,59000
gold_45,39800,149000
gold_46,39800,149000
gold_47,78800,299000
gold_48,7800,30000
